# AC3 evidence — server-java gate (#483 v2.8)

명령: cd server-java && ./gradlew test --rerun-tasks --console=plain
결과: BUILD SUCCESSFUL in 2m 24s / 5 actionable tasks: 5 executed
집계: tests=1188 failures=0 errors=0 skipped=1

| class | tests | failures | errors |
| online.hmb.NoticeActiveApiTest | 8 | 0 | 0 |
| online.hmb.NoticeAssetApiTest | 14 | 0 | 0 |
| online.hmb.NoticeByIdApiTest | 6 | 0 | 0 |
| online.hmb.NoticeByIdStatusTest | 10 | 0 | 0 |
| online.hmb.OAuthMockTest | 6 | 0 | 0 |
| online.hmb.OverhaulDetectorTest | 15 | 0 | 0 |
| online.hmb.Phase2W1FlowTest | 3 | 0 | 0 |
| online.hmb.PlayerCatalogAdminLockTest | 2 | 0 | 0 |
| online.hmb.PlayerCatalogMissingFileTest | 1 | 0 | 0 |
| online.hmb.PlayerCatalogSeedImportTest | 3 | 0 | 0 |
| online.hmb.PlayerCatalogV22SeedTest | 1 | 0 | 0 |
| online.hmb.PlayerCatalogV23SeedTest | 2 | 0 | 0 |
| online.hmb.PlayerCatalogV24SeedTest | 2 | 0 | 0 |
| online.hmb.PlayerCatalogV27SeedTest | 8 | 0 | 0 |
| online.hmb.PlayerCatalogV28SeedTest | 5 | 0 | 0 |
| online.hmb.PlayerPersonalityImportTest | 2 | 0 | 0 |
| online.hmb.PresetApiTest | 4 | 0 | 0 |
| online.hmb.RankingApiTest | 5 | 0 | 0 |
| online.hmb.RankingEligibilityTest | 4 | 0 | 0 |
| online.hmb.ReuseOnNoChangeDisabledTest | 1 | 0 | 0 |
| online.hmb.RewardBundleFlowTest | 5 | 0 | 0 |
| online.hmb.SeasonIncomeProbeTest | 1 | 0 | 0 |
| online.hmb.SecondHalfPrefetchTest | 8 | 0 | 0 |
| online.hmb.SqliteBusyMappingTest | 3 | 0 | 0 |
| online.hmb.StarterPackAndMeTest | 2 | 0 | 0 |
| online.hmb.StarterReworkTest | 9 | 0 | 0 |
| online.hmb.StarterTopMissingPlayerTest | 2 | 0 | 0 |
| online.hmb.TeamPresetApiTest | 8 | 0 | 0 |
| online.hmb.TradeApiTest | 20 | 0 | 0 |
| online.hmb.TradeBusyRetryTest | 2 | 0 | 0 |
| online.hmb.TradeConcurrencyTest | 1 | 0 | 0 |
| online.hmb.TradeWaitSecondsOverrideTest | 1 | 0 | 0 |
| online.hmb.UserSquadApiTest | 11 | 0 | 0 |
| online.hmb.chars.CharBundleEntryNameTest | 7 | 0 | 0 |
| online.hmb.league.LegacyRosterFillTest | 3 | 0 | 0 |
| online.hmb.meta.StarterDeckBuilderTest | 6 | 0 | 0 |
