# #492 server-java 최종 게이트 — COLD (`./gradlew test --rerun-tasks`)
# 2026-08-13T00:04:41 · feat/492-event-board · 측정 트리 HEAD=bf549b72
TOTAL classes=178 tests=1216 skipped=1 failures=0 errors=0
RESULT BUILD SUCCESSFUL in 2m 36s

## ⚠️ 이 수치가 무엇에 대한 것인가 (읽는 법)
#
# 측정 대상 = `server-java/src/**`(main + test). **문서·증빙 파일은 이 수치를 바꾸지 않는다**
# — `evidence/**` · `docs/**` · `*.md` 만 바꾼 커밋 뒤에도 위 숫자는 그대로다.
#
# 그래서 `HEAD=` 가 리포의 현재 HEAD 보다 **뒤에 있어도 스테일이 아니다**(문서 커밋이 그 사이에
# 있는 경우). 스테일 판정은 커밋 해시 일치가 아니라 아래 명령으로 한다:
#
#     git diff --stat bf549b72..HEAD -- server-java/src
#
# 출력이 비어 있으면 이 수치는 현재 코드의 것이다. 비어 있지 않으면 콜드 재실행이 필요하다.
# (AC7 패널 5R 증빙무결성 렌즈 — 헤더 갱신만으로는 다음 docs 커밋에서 같은 지적이 재발한다.)

## 전 클래스
  online.hmb.GrowthServiceTest                            tests=33 skipped=0 failures=0 errors=0 time=0.251s
  online.hmb.GrowthSettlementFlowTest                     tests=1 skipped=0 failures=0 errors=0 time=0.069s
  online.hmb.GrowthShippedProgressionTest                 tests=3 skipped=0 failures=0 errors=0 time=0.462s
  online.hmb.GrowthTuningLiveTest                         tests=14 skipped=0 failures=0 errors=0 time=0.178s
  online.hmb.GrowthTuningRegistryTest                     tests=9 skipped=0 failures=0 errors=0 time=0.045s
  online.hmb.HalftimeShapeTest                            tests=15 skipped=0 failures=0 errors=0 time=0.821s
  online.hmb.HalftimeTacticsTest                          tests=10 skipped=0 failures=0 errors=0 time=0.588s
  online.hmb.HomeNavBoardsTest                            tests=14 skipped=0 failures=0 errors=0 time=0.548s
  online.hmb.InactiveUnitMatchFlowTest                    tests=1 skipped=0 failures=0 errors=0 time=0.105s
  online.hmb.InternalJobApiTest                           tests=8 skipped=0 failures=0 errors=0 time=3.872s
  online.hmb.KickoffRecaptureTest                         tests=2 skipped=0 failures=0 errors=0 time=0.047s
  online.hmb.LeagueApiTest                                tests=17 skipped=0 failures=0 errors=0 time=0.758s
  online.hmb.LeagueBasePrefetchTest                       tests=3 skipped=0 failures=0 errors=0 time=0.124s
  online.hmb.LeagueDailyRewardEconomyProbeTest            tests=5 skipped=0 failures=0 errors=0 time=0.009s
  online.hmb.LeagueDailyRewardTest                        tests=12 skipped=0 failures=0 errors=0 time=0.298s
  online.hmb.LeagueDivisionRollbackTest                   tests=2 skipped=0 failures=0 errors=0 time=0.071s
  online.hmb.LeagueDivisionRosterDumpTest                 tests=1 skipped=1 failures=0 errors=0 time=0.0s
  online.hmb.LeagueDivisionTest                           tests=22 skipped=0 failures=0 errors=0 time=1.366s
  online.hmb.LeagueFixedBotPoolTest                       tests=6 skipped=0 failures=0 errors=0 time=0.282s
  online.hmb.LeagueLegacyRosterTest                       tests=4 skipped=0 failures=0 errors=0 time=0.05s
  online.hmb.LeagueLegacySeasonTest                       tests=2 skipped=0 failures=0 errors=0 time=0.181s
  online.hmb.LeagueMatchLockTest                          tests=3 skipped=0 failures=0 errors=0 time=0.111s
  online.hmb.LocalAuthRaceTest                            tests=1 skipped=0 failures=0 errors=0 time=0.019s
  online.hmb.LocalAuthTest                                tests=17 skipped=0 failures=0 errors=0 time=0.469s
  online.hmb.LogsApiTest                                  tests=5 skipped=0 failures=0 errors=0 time=0.052s
  online.hmb.MailCampaignDetailTest                       tests=2 skipped=0 failures=0 errors=0 time=0.058s
  online.hmb.MailFanoutCapTest                            tests=1 skipped=0 failures=0 errors=0 time=0.017s
  online.hmb.MailboxApiTest                               tests=9 skipped=0 failures=0 errors=0 time=0.222s
  online.hmb.MatchAbBranchTest                            tests=7 skipped=0 failures=0 errors=0 time=0.298s
  online.hmb.MatchAbandonSchedulerTest                    tests=1 skipped=0 failures=0 errors=0 time=0.239s
  online.hmb.MatchAbandonTest                             tests=16 skipped=0 failures=0 errors=0 time=0.362s
  online.hmb.MatchAutoManualResumeSwitchTest              tests=2 skipped=0 failures=0 errors=0 time=0.17s
  online.hmb.MatchAutoModeSwitchesTest                    tests=1 skipped=0 failures=0 errors=0 time=0.045s
  online.hmb.MatchAutoModeTest                            tests=13 skipped=0 failures=0 errors=0 time=0.788s
  online.hmb.MatchBotPrefetchTest                         tests=3 skipped=0 failures=0 errors=0 time=0.184s
  online.hmb.MatchClockDisabledTest                       tests=2 skipped=0 failures=0 errors=0 time=0.152s
  online.hmb.MatchClockDuePredicateTest                   tests=5 skipped=0 failures=0 errors=0 time=0.0s
  online.hmb.MatchClockFlowTest                           tests=12 skipped=0 failures=0 errors=0 time=0.733s
  online.hmb.MatchClockSchedulerTest                      tests=1 skipped=0 failures=0 errors=0 time=0.65s
  online.hmb.MatchClockShippedDefaultsTest                tests=2 skipped=0 failures=0 errors=0 time=0.003s
  online.hmb.MatchConditionDateAnchorTest                 tests=1 skipped=0 failures=0 errors=0 time=0.027s
  online.hmb.MatchDeckSnapshotApiTest                     tests=5 skipped=0 failures=0 errors=0 time=0.109s
  online.hmb.MatchDeltaDisabledTest                       tests=1 skipped=0 failures=0 errors=0 time=0.061s
  online.hmb.MatchFailureTest                             tests=5 skipped=0 failures=0 errors=0 time=0.27s
  online.hmb.MatchFlowE2ETest                             tests=5 skipped=0 failures=0 errors=0 time=0.253s
  online.hmb.MatchLockApiTest                             tests=20 skipped=0 failures=0 errors=0 time=0.515s
  online.hmb.MatchOverhaulKnobsTest                       tests=1 skipped=0 failures=0 errors=0 time=0.077s
  online.hmb.MatchOverhaulRoutingTest                     tests=9 skipped=0 failures=0 errors=0 time=0.441s
  online.hmb.MatchPromptDeltaTest                         tests=6 skipped=0 failures=0 errors=0 time=0.3s
  online.hmb.MatchPromptsReadApiTest                      tests=7 skipped=0 failures=0 errors=0 time=0.193s
  online.hmb.MatchSideNamesTest                           tests=2 skipped=0 failures=0 errors=0 time=0.05s
  online.hmb.MatchSkipDisabledTest                        tests=1 skipped=0 failures=0 errors=0 time=0.05s
  online.hmb.MatchSkipTest                                tests=9 skipped=0 failures=0 errors=0 time=0.49s
  online.hmb.MatchSkipTransitionFailureTest               tests=1 skipped=0 failures=0 errors=0 time=0.073s
  online.hmb.MatchSnapshotTacticsTest                     tests=3 skipped=0 failures=0 errors=0 time=0.04s
  online.hmb.MatchSubsTest                                tests=2 skipped=0 failures=0 errors=0 time=0.128s
  online.hmb.MatchTransitionMatrixTest                    tests=78 skipped=0 failures=0 errors=0 time=1.098s
  online.hmb.MissionDailyTest                             tests=35 skipped=0 failures=0 errors=0 time=0.885s
  online.hmb.MissionFinishHookWiringTest                  tests=2 skipped=0 failures=0 errors=0 time=0.164s
  online.hmb.MissionMatchFlowTest                         tests=6 skipped=0 failures=0 errors=0 time=0.279s
  online.hmb.MissionRollbackOffTest                       tests=2 skipped=0 failures=0 errors=0 time=0.014s
  online.hmb.NoticeActiveApiTest                          tests=8 skipped=0 failures=0 errors=0 time=0.04s
  online.hmb.NoticeAssetApiTest                           tests=14 skipped=0 failures=0 errors=0 time=0.237s
  online.hmb.NoticeByIdApiTest                            tests=6 skipped=0 failures=0 errors=0 time=0.038s
  online.hmb.NoticeByIdStatusTest                         tests=10 skipped=0 failures=0 errors=0 time=0.039s
  online.hmb.OAuthMockTest                                tests=6 skipped=0 failures=0 errors=0 time=0.034s
  online.hmb.OverhaulDetectorTest                         tests=15 skipped=0 failures=0 errors=0 time=0.002s
  online.hmb.Phase2W1FlowTest                             tests=3 skipped=0 failures=0 errors=0 time=0.142s
  online.hmb.PlayerCatalogAdminLockTest                   tests=2 skipped=0 failures=0 errors=0 time=0.018s
